X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,Zip_Code,Zip4,Proposed_new_category,Latitude,Longitude,ObjectId,NOTES,Store_Type
-7954763,5133849,1229999,New Lanes,451 Hartford Ave,,2909,5132,Convenience Store,41.81863,-71.4589,226086, need to call or visit,Convenience Store
-7953041,5134854,1203505,Arm Market,29 Academy Avenue,,2908,,Convenience Store,41.82535,-71.4434,131837,,Convenience Store
-7950398,5132955,1549845,Deli Pine Food Market Inc.,465 Pine St,,2907,1345,Convenience Store,41.81264,-71.4196,205826,,Convenience Store
-7954183,5134888,1449474,Kh Mart,1081 Atwells Ave,,2909,4115,Convenience Store,41.82558,-71.4536,166236,,Convenience Store
-7951989,5132370,1487132,Central Market,536 Cranston St,,2907,2749,Convenience Store,41.80872,-71.4339,196602,,Grocery Store
-7952280,5133114,1594158,City Market,75 Messer St,,2909,2009,Convenience Store,41.81371,-71.4365,249342,,Grocery Store
-7951429,5132176,1385800,Dexter Mini Market,331 Dexter St,,2907,2759,Convenience Store,41.80742,-71.4289,156911,,Grocery Store
-7952575,5134681,1409385,Mobil Mart,269 Valley St,,2909,2445,Convenience Store,41.82419,-71.4392,171723,,Convenience Store
-7953785,5135971,386361,A & B Convenience And Deli,1245 Chalkstone Ave,,2908,3903,Corner Store,41.83283,-71.4501,10032,,Grocery Store
-7953721,5134798,936704,Anthony Grocery Store,964A Atwells Ave,,2909,3104,Corner Store,41.82498,-71.4495,78947,,Grocery Store
-7953955,5134608,1235118,Br Market Inc,352 Manton Ave,,2909,3626,Corner Store,41.8237,-71.4516,100256,,Grocery Store
-7950358,5131567,1494173,Carolyn Market Llc,757 Broad St,,2907,1602,Corner Store,41.80335,-71.4193,190026,,Grocery Store
-7953054,5134746,1561281,Casa Mexico ,802 Atwells Ave,,2909,2507,Corner Store,41.82463,-71.4435,243491,,Grocery Store
-7948524,5129519,1151905,Charles Variety,1308 Eddy St,,2905,2820,Corner Store,41.78963,-71.4028,235645,,Grocery Store
-7952055,5132289,1560697,Cranston Family Market,560 Cranston St,,2907,2809,Corner Store,41.80818,-71.4345,243765,,Grocery Store
-7946950,5135525,442976,CVS PHARMACY 1294,481 Angell St,,2906,4407,Corner Store,41.82984,-71.3887,15434,,Other
-7950004,5135017,962641,CVS Pharmacy 2049,39 Providence Pl,PROV MALL #1010,2903,1747,Corner Store,41.82645,-71.4161,93684,,Other
-7955832,5136175,460786,CVS PHARMACY 2417,935 Manton Ave,,2909,5628,Corner Store,41.8342,-71.4685,30384,,Other
-7949817,5130865,615078,CVS PHARMACY 4796,960 Broad St,,2905,1822,Corner Store,41.79865,-71.4144,41928,,Other
-7947612,5138390,421319,CVS PHARMACY 729,799 Hope St,,2906,3635,Corner Store,41.84902,-71.3946,27614,,Other
-7948281,5135536,962593,CVS Pharmacy 827,291 Thayer St,,2906,1524,Corner Store,41.82992,-71.4006,89853,,Other
-7951489,5137917,522935,CVS PHARMACY 856,400 Admiral St,,2908,2416,Corner Store,41.84585,-71.4294,24965,,Other
-7953829,5132907,527375,CVS PHARMACY 994,131 Webster Ave,,2909,2931,Corner Store,41.81232,-71.4505,37902,,Other
-7950757,5134288,1505163,Daily Stop Mart 3,163 Broadway,,2903,3013,Corner Store,41.82156,-71.4229,188194,- they have milk and some canned goods more than what a gas station/convenince store has,Convenience Store
-7955190,5133920,1298868,DOLLAR GENERAL 19286,550 Hartford Ave,,2909,5800,Corner Store,41.8191,-71.4627,91322,,Other
-7951287,5138897,1605647,Dollar General 30670,650-700 Branch Ave,,2904,,Corner Store,41.85241,-71.4276,250221,,Other
-7955793,5134095,775006,DOLLAR TREE 1733,377 Killingly St,,2909,5900,Corner Store,41.82027,-71.4681,53123,,Other
-7953167,5134103,1044151,El Encanto Market,72 Appleton St,,2909,2724,Corner Store,41.82033,-71.4445,235772,,Grocery Store
-7953529,5134168,678605,El Primo Fruits & Vegetables,212 Manton Ave,,2909,3310,Corner Store,41.82076,-71.4478,51589,,Grocery Store
